date,time,group,subject,build,age_response,age_latency,gender_response,gender_latency,race_response,race_latency,comments_response,comments_latency,
92617,13:18:19,482026661,985999961,5.0.9.0,33,12311,Male,12311,caucasian,12311,,12311,
92617,12:12:25,858251281,220340556,5.0.9.0,35,14738,Female,14738,Hispanic,14738,none,14738,
92617,12:53:36,906392917,554324567,5.0.9.0,30,14695,Male,14695,white,14695,none,14695,
92617,11:54:58,26424261,522172380,5.0.9.0,26,11513,Male,11513,White American,11513,none,11513,
92617,11:36:41,288102729,658278960,5.0.9.0,47,18589,Female,18589,white,18589,,18589,
92617,11:20:21,288102729,658278960,5.0.9.0,47,35426,Female,35426,white,35426,,35426,
92617,16:16:48,494260032,664603684,5.0.9.0,22,8858,Female,8858,White,8858,,8858,
92617,10:59:45,948377885,276913733,5.0.9.0,42,8232,Female,8232,WHITE,8232,,8232,
92617,09:56:41,995131549,315594766,5.0.9.0,34,10435,Female,10435,white,10435,no.,10435,
92617,10:47:29,947616850,511922798,5.0.9.0,34,12595,Male,12595,white,12595,,12595,
92617,10:47:59,604626055,969456198,5.0.9.0,58,17234,Female,17234,white,17234,,17234,
92617,10:46:05,339409815,224223313,5.0.9.0,25,6878,Female,6878,White,6878,,6878,
92617,10:44:36,42300882,80872162,5.0.9.0,40,113378,Male,113378,White,113378,"While I believe everyone should have an equal chance, I do not believe in forced equality either. I also believe that Capitalism in general is the root of the issues and that the poor of all races are not given  a fair chance. Take race out of the equation and allow those who are not rich a fair chance.",113378,
92617,09:15:27,187168168,137644257,5.0.9.0,39,115513,Female,115513,white,115513,I didn't feel that I chose people as more or less trustworthy based on race.  Often times it was their facial features. (I.E. whether their eyes looked menacing or their mouth was more of a smile vs. a frown.),115513,
92617,09:14:53,412660917,108191766,5.0.9.0,67,96019,Male,96019,WHITE/BLACK,96019,Use a key selection further apart on the keyboard. Produces a better mental separation. Thank you!,96019,
92617,08:08:18,591021052,160788273,5.0.9.0,21,8851,Female,8851,White,8851,Nope!,8851,
92617,08:59:06,801975524,107134108,5.0.9.0,50,73302,Female,73302,white/caucasian,73302,it was hard to pick if the one person was more trustworthy than the group because sometimes there was one person out of 3 that I would definitely not trust but the single person may have been equally not trustable ... it was a bit tricky to be consistent,73302,
92617,09:06:41,584912418,132570173,5.0.9.0,30,17570,Female,17570,White,17570,No.,17570,
92617,07:58:29,248276210,722307859,5.0.9.0,47,14546,Female,14546,caucasian,14546,no comments,14546,
92617,08:39:48,522447667,244625591,5.0.9.0,51,21032,Female,21032,white,21032,very interesting,21032,
92617,08:21:57,229419750,612084144,5.0.9.0,30,8341,Female,8341,white,8341,,8341,
92617,07:39:27,219286030,567278264,5.0.9.0,37,10018,Male,10018,White,10018,None,10018,
92617,07:34:00,236663561,556491577,5.0.9.0,31,9740,Male,9740,white,9740,,9740,
92617,14:14:37,880466040,575782221,5.0.9.0,31,11977,Female,11977,white,11977,no,11977,
92617,07:14:32,440131663,405551395,5.0.9.0,52,128301,Female,128301,White,128301,,128301,
92617,05:11:36,482862233,742429386,5.0.9.0,55,32342,Female,32342,Caucasian,32342,None,32342,
92617,07:08:58,293850015,113105719,5.0.9.0,32,19909,Male,19909,white,19909,too many examples,19909,
92617,05:32:27,830104710,15578348,5.0.9.0,46,13735,Female,13735,white,13735,,13735,
92617,05:31:53,760310958,81192935,5.0.9.0,42,15231,Male,15231,White,15231,I have no additional comments at this time.,15231,
92617,01:43:42,619864081,939949382,5.0.9.0,27,27360,Male,27360,Asian,27360,"It is a little bit longer than I thought. But, it was still a fun project to work with.",27360,
92617,04:33:03,289158722,399998330,5.0.9.0,27,10917,Female,10917,Asian,10917,,10917,
92617,11:21:41,317420601,86001624,5.0.9.0,32,30900,Male,30900,African American,30900,no,30900,
92517,23:44:14,254723004,36512288,5.0.9.0,27,24756,Male,24756,white,24756,,24756,
92617,02:22:00,347781002,980564919,5.0.9.0,33,11355,Male,11355,white,11355,nope,11355,
92517,23:14:34,734425962,999610399,5.0.9.0,34,25078,Female,25078,White/Caucasian,25078,none,25078,
92517,22:54:29,778016568,238326531,5.0.9.0,49,23781,Female,23781,Caucasian,23781,I cannot think of anything,23781,
92617,01:45:25,189901697,606786950,5.0.9.0,24,6425,Female,6425,white,6425,,6425,
92517,22:34:56,7484205,720122739,5.0.9.0,54,34318,Female,34318,Mexican-American and San Carlos Apache,34318,no,34318,
92617,00:31:51,117794452,166249782,5.0.9.0,28,14083,Male,14083,White,14083,,14083,
92517,23:50:19,448518411,693005194,5.0.9.0,35,16491,Male,16491,white,16491,racial thoughts,16491,
92617,00:24:44,658903320,747168733,5.0.9.0,20,24284,Male,24284,Hispanic,24284,Great! Although the faces part was a little bit overwhelming in length.,24284,
92617,00:16:01,883921149,130066278,5.0.9.0,29,26264,Female,26264,HISPANIC,26264,THANK YOU,26264,
92517,21:05:47,10464607,339429908,5.0.9.0,32,71886,Female,71886,white,71886,The flashing pictures were too fast at first.  I eventually got used to it. Interesting way to prevent a survey.,71886,
92617,00:02:05,65883175,232377802,5.0.9.0,22,8151,Female,8151,White,8151,,8151,
92517,20:59:21,799107624,146096228,5.0.9.0,48,71732,Female,71732,white,71732,Interesting.  It was very difficult to compare the 4 faces to the one.  Would have been nice to have the option of an equal trustworthy option instead of more or less.,71732,
92517,21:03:50,713662412,511331079,5.0.9.0,34,12303,Female,12303,Asian American,12303,None,12303,
92517,21:03:36,93423871,400870759,5.0.9.0,30,14248,Male,14248,Caucasion,14248,"this was fun, thanks",14248,
92517,22:57:12,652651278,623148090,5.0.9.0,27,7476,Female,7476,white,7476,,7476,
92517,22:02:09,387817250,841943592,5.0.9.0,46,27448,Male,27448,Caucasian,27448,No.  Nicely rendered survey!,27448,
92517,22:14:49,140045154,820471989,5.0.9.0,47,20258,Male,20258,African American,20258,,20258,
92617,07:50:44,195931488,518315722,5.0.9.0,23,22537,Female,22537,White,22537,good,22537,
92517,19:20:01,556658291,58068126,5.0.9.0,23,23104,Male,23104,African American,23104,None,23104,
92517,22:10:56,3517109,543603569,5.0.9.0,21,12816,Female,12816,White,12816,,12816,
92517,22:14:25,450656785,123425481,5.0.9.0,53,40754,Male,40754,white,40754,there was one time I clicked the wrong button. I wish there was a do-over option!,40754,
92517,22:12:18,481503294,469831860,5.0.9.0,21,6636,Female,6636,white,6636,,6636,
92517,22:11:18,617907910,556913334,5.0.9.0,43,12228,Female,12228,white,12228,no,12228,
92517,20:42:03,447714846,683308,5.0.9.0,26,40457,Female,40457,black/latino,40457,That was was way too many faces to go through.,40457,
92517,17:00:05,383635355,294755066,5.0.9.0,22,5279,Female,5279,Vietnamese,5279,,5279,
92517,16:43:33,195192413,253205741,5.0.9.0,20,8919,Male,8919,Asian,8919,,8919,
92517,19:38:41,987823281,460574861,5.0.9.0,40,7609,Female,7609,white,7609,,7609,
92517,19:32:20,277774781,486329142,5.0.9.0,32,12614,Male,12614,CAUCASIAN,12614,,12614,
92517,19:32:05,5045998,748045838,5.0.9.0,29,12502,Female,12502,White,12502,n/a,12502,
92517,15:00:19,102885040,650206797,5.0.9.0,21,10687,Male,10687,Asian,10687,None,10687,
92517,15:01:49,186625784,916951535,5.0.9.0,37,25803,Male,25803,White,25803,I think I clicked on the wrong answer to the first question because I had it backwards.,25803,
92517,13:57:13,78241996,598676420,5.0.9.0,21,10460,Male,10460,White,10460,everything worked great,10460,
92517,15:46:40,487501590,960896551,5.0.9.0,56,12873,Female,12873,white,12873,no,12873,
92517,16:47:19,674846395,773551747,5.0.9.0,38,20812,Male,20812,white,20812,Interesting HIT,20812,
92517,14:27:07,141854104,611237733,5.0.9.0,44,11946,Female,11946,hispanic,11946,,11946,
92517,13:10:06,597620127,79298289,5.0.9.0,40,18117,Male,18117,Hispanic,18117,none,18117,
92517,13:10:51,142681490,534236926,5.0.9.0,46,17004,Female,17004,AFRICAN AMERICAN,17004,No.,17004,
92517,13:12:32,348827590,328090827,5.0.9.0,28,15416,Female,15416,white/hispanic,15416,no,15416,
92517,14:11:21,800434409,107440649,5.0.9.0,65,16446,Female,16446,WHITE,16446,,16446,
92517,13:56:09,93681744,814193314,5.0.9.0,99,7590,Female,7590,test,7590,test,7590,
